date,station_id,AWND,TAVG,TMAX,TMIN,WESF
20200104,USC00301595,,,,39,
20200104,USC00301625,,,56,0,
20200104,USC00301664,,,61,-6,
20200104,USC00301708,,,28,-11,
20200104,USC00301752,,,44,-22,
20200104,USC00301787,,,44,11,
20200104,USC00301966,,,56,-11,
20200104,USC00301974,,,83,28,
20200104,USC00302031,,,83,11,
20200104,USC00302036,,,72,6,
20200104,USC00302151,,,78,50,
20200104,USC00302169,,,0,-39,
20200104,USC00302197,,,72,6,0
20200104,USC00302366,,,56,0,
20200104,USC00302454,,,78,11,
20200104,USC00302574,,,28,-28,
20200104,USC00302610,,,61,33,
20200104,USC00303025,,,67,11,
20200104,USC00303050,,,78,11,
20200104,USC00303087,,,83,28,
20200104,USC00303184,,,83,11,
20200104,USC00303322,,,11,-11,
20200104,USC00303346,,,61,0,
20200104,USC00303773,,,56,0,
20200104,USC00303851,,,44,0,
20200104,USC00303955,,,83,0,
20200104,USC00303983,,,67,6,
20200104,USC00304102,,,33,-6,
20200104,USC00304174,,,72,28,
20200104,USC00304207,,,72,28,
20200104,USC00304555,,,33,-11,
20200104,USC00304575,,,94,11,
20200104,USC00304731,,,56,6,
20200104,USC00304808,,,67,-6,
20200104,USC00304844,,,50,-6,
20200104,USC00304912,,,61,17,
20200104,USC00304996,,,56,0,
20200104,USC00305113,,,72,22,
20200104,USC00305142,,,83,28,
20200104,USC00305233,,,72,28,
20200104,USC00305426,,,78,50,
20200104,USC00305512,,,72,11,
20200104,USC00305597,,,83,6,
20200104,USC00305606,,,128,61,
20200104,USC00305714,,,6,-6,
20200104,USC00306047,,,72,0,
20200104,USC00306085,,,67,-6,
20200104,USC00306164,,,61,11,
20200104,USC00306196,,,78,39,
20200104,USC00306276,,,78,44,
20200104,USC00306314,,,56,6,
20200104,USC00306525,,,56,-6,
20200104,USC00306538,,,67,-6,
20200104,USC00306747,,,78,11,
20200104,USC00306774,,,67,17,
20200104,USC00306867,,,78,33,
20200104,USC00307134,,,106,61,
20200104,USC00307484,,,44,0,
20200104,USC00307520,,,94,28,
20200104,USC00307705,,,78,17,
20200104,USC00307742,0,,67,28,
20200104,USC00307842,,,83,6,
20200104,USC00308455,,,94,22,
20200104,USC00308577,,,72,56,
20200104,USC00308578,,,39,-56,
20200104,USC00308631,,,39,-6,
20200104,USC00308721,,,72,56,
20200104,USC00308839,,,83,11,
20200104,USC00308910,,,67,11,
20200104,USC00308932,,,67,6,
20200104,USC00308962,,,56,-6,
20200104,USC00309000,,,72,6,
20200104,USC00309049,,,56,-11,
20200104,USC00309072,,,78,-50,
20200104,USC00309389,,,61,22,
20200104,USC00309442,,,72,0,
20200104,USC00309593,,,61,0,
20200104,USC00309690,,,83,17,
20200104,USR0000NGAN,,28,56,6,
20200104,USR0000NSAR,,25,56,0,
20200104,USR0000NSCH,,5,11,0,
20200104,USR0000NSHR,,23,44,-6,
20200104,USR0000NSTO,,60,78,39,
20200104,USW00004724,43,,33,-5,
20200104,USW00004725,37,34,50,-16,
20200104,USW00004781,27,79,100,50,
20200104,USW00004789,25,,78,33,
20200104,USW00014719,25,,100,50,
20200104,USW00014732,38,84,100,50,
20200104,USW00014733,39,26,44,0,
20200104,USW00014735,14,52,61,17,
20200104,USW00014747,43,,44,6,
20200104,USW00014748,25,,56,11,
20200104,USW00014750,21,23,39,-5,
20200104,USW00014757,11,,83,33,
20200104,USW00014768,34,26,44,0,
20200104,USW00014771,31,42,56,6,
20200104,USW00054757,43,,50,-32,
20200104,USW00054773,26,,50,6,
20200104,USW00054778,24,,50,-5,
20200104,USW00054780,11,,100,61,
20200104,USW00054787,23,,106,61,
20200104,USW00054790,22,,106,56,
20200104,USW00064756,,,77,27,
20200104,USW00064758,,,42,-10,
20200104,USW00064775,28,,50,6,
20200104,USW00064776,33,,39,-16,
20200104,USW00094704,31,,61,6,
20200104,USW00094725,15,,39,-5,
20200104,USW00094728,20,,106,50,
20200104,USW00094740,15,,17,-27,
20200104,USW00094745,30,,89,39,
20200104,USW00094789,37,84,106,61,
20200104,USW00094790,22,,39,-5,
20200105,US1NYBM0034,,,,,3
20200105,US1NYCB0016,,,,,0
20200105,US1NYCL0012,,,,,25
